Cubic_capacity;Number_of_cylinders;Number_of_valves;Max_power;Max_torque;Compression_rate;Kerb_weight;Gasoline;Diesel;Gasoline_Electric;Diesel_Electric;Direct;Indirect;Turbocharger;Biturbo;Compressor;Naturally_aspirated;Manual;Automatic;AWD;FWD;RWD;FCU;FCH;FCM
1968;4;16;143;320;16,5;1730;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,8;5,4;5,9
1968;4;16;143;320;16,5;1655;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6,2;5,4;5,7
1968;4;16;150;320;16,5;1730;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,8;5,4;5,9
1968;4;16;150;320;16,5;1635;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;6;4,9;5,3
1968;4;16;170;350;16,5;1770;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;8,8;5,9;7
1968;4;16;170;350;16,5;1730;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;7,3;5,6;6,2
1968;4;16;177;380;16;1795;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;6,8;5,6;6
1968;4;16;177;380;16;1730;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;6,8;5,4;5,9
2967;6;24;240;500;16,8;1865;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;9,2;6,6;7,5
2967;6;24;245;580;16,8;1835;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,1;6;6,4
2967;6;24;313;650;16,8;1895;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7,6;6,4;6,8
1984;4;16;211;350;9,6;1885;0;0;1;0;1;0;1;0;0;0;0;1;1;0;0;7,1;6,6;6,9
2995;6;24;272;400;10,5;2220;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;14,7;8,3;10,7
2995;6;24;333;440;10,5;2240;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;14,7;8,3;10,7
3597;6;24;280;360;12;2205;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;17,8;9,8;12,7
3597;6;24;280;360;12;2205;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;17;9,3;12,1
3597;6;24;280;360;12;2195;1;0;0;0;0;1;0;0;0;1;1;0;1;0;0;18,1;10;12,9
4163;8;32;350;440;12,5;2240;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;19,1;10;13,3
2967;6;24;204;450;16,8;2270;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;8,2;6,5;7,2
2967;6;24;240;550;17;2295;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;11,3;7,8;9,1
2967;6;24;240;550;17;2270;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;8,6;6,7;7,4
2967;6;24;245;550;16,8;2335;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;8,8;6,6;7,4
4134;8;32;326;760;16,5;2420;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;14,9;8,9;11,1
5934;12;48;500;1000;16;2605;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;14,8;9,3;11,3
1798;4;16;160;250;9,6;1260;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;8,4;5,2;6,4
1798;4;16;160;250;9,6;1240;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;8,5;5,2;6,4
1984;4;16;211;350;9,6;1360;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;9,9;5,7;7,2
1984;4;16;211;350;9,6;1280;1;0;0;0;1;0;1;0;0;0;0;1;0;1;0;9,9;5,4;7,1
1984;4;16;211;350;9,6;1260;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;8,9;5,2;6,6
1984;4;16;272;350;9,8;1415;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;10,6;6;7,7
1984;4;16;272;350;9,8;1395;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;10,8;6,2;7,9
2480;5;20;340;450;10;1475;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;12,3;6,3;8,5
2480;5;20;340;450;10;1450;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;13,1;6,9;9,2
2480;5;20;360;465;10;1475;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;12,3;6,3;8,5
2480;5;20;360;465;10;1450;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;12,6;6,8;9
1968;4;16;170;350;16,5;1405;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;7;4,7;5,5
1968;4;16;170;350;16,5;1370;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;7;4,3;5,3
1598;4;16;102;180;10,5;1265;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;7,1;4,6;5,5
1598;4;16;102;180;10,5;1260;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;6,8;4,5;5,3
1598;4;16;136;220;10,5;1285;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;7,2;4,7;5,6
1598;4;16;136;220;10,5;1265;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;7,1;4,6;5,5
1598;4;16;170;250;10,5;1290;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;7,2;4,7;5,6
1598;4;16;170;250;10,5;1270;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;7,5;4,8;5,8
1997;4;16;218;310;10;1340;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;8,2;5,3;6,4
1997;4;16;218;310;10;1320;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;8,6;5,4;6,6
1598;4;16;95;235;16,5;1280;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;4,9;3,7;4,1
1598;4;16;116;260;16,5;1285;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;4,4;3,4;3,8
1995;4;16;116;260;16,5;1320;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;5,3;3,8;4,4
1995;4;16;116;260;16,5;1285;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;5,3;3,8;4,3
1995;4;16;143;320;16,5;1320;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;5,3;3,9;4,4
1995;4;16;143;320;16,5;1385;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;5,4;4,1;4,6
1995;4;16;143;320;16,5;1295;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;5,4;3,8;4,4
1995;4;16;184;380;16,5;1340;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;5,2;3,9;4,4
1995;4;16;184;380;16,5;1400;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;5,8;4;4,7
1995;4;16;184;380;16,5;1320;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;5,6;3,9;4,5
1995;4;16;218;450;16,5;1380;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;5,7;4,2;4,8
1995;4;16;218;450;16,5;1365;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;6;4,3;4,9
1997;4;16;184;270;11;1340;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;7,7;4,6;5,7
1997;4;16;184;270;11;1325;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;8,3;4,8;6,1
2979;6;24;326;450;10,2;1445;1;0;0;0;1;0;1;0;0;0;0;1;0;0;1;10,3;5,9;7,6
2979;6;24;326;450;10,2;1430;1;0;0;0;1;0;1;0;0;0;1;0;0;0;1;10,9;6,4;8,1
